x,y,category
12,12,B
15,13,A
1,1,B
3,5,A
3,2,C
7,7,A
9,7,C
19,18,B
18,19,A
4,2,C
6,5,A
12,7,C
1,1,A
6,4,C
7,6,C
14,11,A
17,19,A
5,8,C
13,13,B
8,11,B
9,9,B
19,18,B
16,17,A
19,19,C
5,2,B
15,15,B
15,13,B
1,1,B
18,14,C
3,7,A
17,19,C
19,18,B
19,19,B
19,19,B
14,16,B
7,7,C
1,1,A
1,4,B
9,11,C
1,3,B
11,9,B
3,6,B
11,12,C
18,17,A
2,1,C
1,1,C
1,1,C
4,6,C
5,3,C
6,2,A
8,8,B
17,18,B
15,12,C
4,1,C
9,7,C
11,11,B
1,1,B
1,2,B
7,6,C
9,11,C
3,1,B
6,6,C
11,12,A
14,16,B
18,16,B
1,1,C
14,15,A
3,4,B
12,9,A
11,11,A
11,12,C
4,2,B
6,8,A
4,3,B
15,13,C
3,2,B
12,12,C
4,2,B
8,7,B
14,13,C
15,16,A
3,4,A
15,16,B
13,11,B
16,16,B
17,15,A
5,5,C
9,6,C
3,5,C
1,1,A
5,2,C
1,1,A
17,19,B
18,17,C
4,7,C
2,1,A
16,19,B
3,2,C
2,4,A
11,9,A
13,14,C
16,14,B
7,5,C
9,5,A
1,1,A
11,8,A
18,16,B
11,11,A
2,1,B
2,2,A
3,1,B
3,4,C
18,17,B
14,16,C
3,1,B
17,13,C
18,21,B
14,12,C
9,8,A
1,2,C
4,1,B
11,11,A
11,11,A
8,9,C
11,13,C
2,3,A
19,22,C
16,15,A
1,1,A
1,2,C
6,5,C
19,18,B
14,12,C
11,14,A
19,12,A
8,6,B
13,7,B
2,4,A
3,2,B
2,4,A
11,11,C
13,15,A
16,16,B
8,6,C
8,8,A
19,18,A
8,6,B
2,3,B
3,2,A
12,15,C
14,16,B
1,1,C
4,1,B
3,2,C
13,12,A
11,8,C
13,13,A
13,15,C
11,11,A
16,15,A
14,15,C
16,21,B
19,17,A
1,1,C
8,6,A
1,1,A
4,4,C
6,6,A
13,12,B
7,5,C
15,21,A
9,7,C
18,19,C
8,9,B
15,15,C
11,7,C
6,6,C
15,16,C
1,1,C
12,11,A
3,2,C
18,18,A
15,15,A
3,1,B
11,13,B
12,11,C
6,4,B
3,5,A
5,4,C
11,8,B
1,1,A
11,6,B
8,8,C
11,12,B
11,12,C
5,8,C
15,16,B
8,7,C
2,5,C
19,24,C
